tag,n,median,ge1k_pct,ge10k_pct,zero_pct
E-Commerce,351,10000.0,67.0,60.1,30.2
Payments,87,10000.0,62.1,58.6,28.7
Marketplaces,183,10000.0,61.2,55.2,35.5
Sales,202,10000.0,56.4,50.5,36.1
B2B,937,9000.0,56.2,49.2,38.5
Shopping,86,10000.0,55.8,52.3,41.9
Marketing,514,8000.0,54.9,47.3,39.1
Advertising,245,5000.0,53.9,45.3,41.6
Email Marketing,188,5006.5,53.7,45.2,42.6
Financial Services,155,3500.0,52.9,48.4,41.3
Photography,49,2000.0,51.0,44.9,36.7
WordPress,173,1000.0,50.3,43.9,46.2
B2C,567,899.0,49.7,41.6,44.1
Design,273,500.0,48.4,39.2,45.8
Growth,330,90.0,46.1,38.5,47.6
Investing,70,0.0,45.7,38.6,51.4
Calendar,69,0.0,44.9,39.1,50.7
APIs,277,38.0,43.3,37.9,48.0
SaaS,1184,14.0,43.2,37.0,48.8
Cryptocurrency,75,0.0,42.7,42.7,54.7
Bots,118,0.0,42.4,34.7,51.7
Art,64,100.0,42.2,37.5,45.3
Task Management,173,0.0,42.2,34.1,52.0
Communication,358,0.0,42.2,35.8,51.4
Analytics,309,0.0,41.4,35.0,56.3
Mailing Lists,105,0.0,41.0,31.4,51.4
Programming,354,0.0,40.7,34.5,52.8
Food & Drink,64,0.0,40.6,39.1,57.8
Podcasting,66,0.0,39.4,36.4,57.6
Social Media,231,0.0,39.0,36.4,54.5
Education,309,0.0,37.9,29.8,54.0
Jobs & Hiring,130,0.0,37.7,30.8,53.8
Content,413,0.0,37.5,29.3,56.4
News & Magazines,76,0.0,36.8,32.9,56.6
Events,63,0.0,36.5,33.3,57.1
Health & Fitness,128,0.0,35.2,29.7,57.8
Travel,98,0.0,34.7,29.6,60.2
Music & Audio,86,0.0,33.7,31.4,55.8
Productivity,734,0.0,33.4,26.7,57.8
Community,363,0.0,32.5,25.9,62.5
Open Source,182,0.0,31.3,27.5,62.6
Video,103,0.0,31.1,29.1,60.2
AI,478,0.0,31.0,23.0,56.1
Writing,217,0.0,30.9,23.0,56.7
Utilities,349,0.0,29.5,24.4,64.2
Gaming,78,0.0,29.5,23.1,64.1
Web3,48,0.0,29.2,25.0,62.5
Professional Services,75,0.0,28.0,9.3,54.7
Books,55,0.0,27.3,20.0,56.4
Data,98,0.0,15.3,5.1,72.4
Entertainment,40,0.0,10.0,2.5,75.0
